,Price,City,Date,Brand,Model,Storage,Stat
186,1100,Casablanca,25 Avril,nokia,nokia 6,32,Neuf
187,8500,Marrakech,25 Avril,iphone,iphone 13,32,Neuf
188,8500,Marrakech,25 Avril,iphone,iphone 13,32,Neuf
189,3500,Casablanca,25 Avril,samsung,samsung s20,8,Bon état
190,3900,Agadir,25 Avril,iphone,iphone x,64,Bon état
191,2700,Marrakech,24 Avril,samsung,samsung s20,8,Bon état
192,2400,Khouribga,24 Avril,samsung,samsung a3,8,Neuf
193,3000,El Jadida,24 Avril,samsung,samsung a5,8,Neuf
194,950,Casablanca,24 Avril,oppo,oppo a5,32,Bon état
195,1500,Casablanca,24 Avril,samsung,samsung a5,8,Bon état
196,9000,Marrakech,24 Avril,iphone,iphone 12 pro,256,Neuf
197,1350,Casablanca,24 Avril,Redmi,Redmi Note 8,64,Bon état
198,1100,Rabat,24 Avril,iphone,iphone 7,32,Bon état
200,9000,Marrakech,24 Avril,iphone,iphone 12 pro,256,Neuf
201,1350,Casablanca,24 Avril,Redmi,Redmi Note 8,64,Bon état
202,1100,Rabat,24 Avril,iphone,iphone 7,32,Bon état
204,1100,Marrakech,24 Avril,sony,sony xperia x,64,Bon état
205,2200,Tanger,24 Avril,iphone,iphone 8,256,Bon état
206,4600,Casablanca,24 Avril,iphone,iphone 11,64,Neuf
207,5900,Marrakech,24 Avril,iphone,iphone 12,256,Bon état
208,850,Marrakech,24 Avril,oppo,oppo a3s,32,Bon état
209,6100,Fès,24 Avril,iphone,iphone 12,64,Bon état
210,3400,Kénitra,24 Avril,iphone,iphone x,64,Bon état
211,2900,Kénitra,24 Avril,iphone,iphone 8,64,Bon état
212,1500,Salé,24 Avril,samsung,samsung a3,64,Bon état
213,5900,Kénitra,24 Avril,iphone,iphone 12,64,Bon état
214,7800,Kénitra,24 Avril,iphone,iphone 12 pro,8,Bon état
215,2300,Marrakech,24 Avril,samsung,samsung note 10 lite,32,Bon état
216,3000,Kénitra,24 Avril,samsung,samsung s20,256,Neuf
217,6000,Casablanca,24 Avril,iphone,iphone 11 pro,64,Bon état
218,700,Marrakech,24 Avril,samsung,samsung a01 core,16,Bon état
219,9400,Casablanca,24 Avril,iphone,iphone 12 pro max,256,Bon état
220,12200,Casablanca,24 Avril,iphone,iphone 13 pro max,8,Neuf
221,12400,Casablanca,24 Avril,iphone,iphone 13 pro max,256,Neuf
222,1300,Casablanca,24 Avril,samsung,samsung a3,8,Bon état
223,13000,Casablanca,24 Avril,iphone,iphone 13,256,Neuf
224,3600,Casablanca,24 Avril,iphone,iphone x,64,Bon état
225,3500,Tanger,24 Avril,iphone,iphone xs,64,Bon état
226,1200,Casablanca,24 Avril,xiaomi,xiaomi ,8,Bon état
227,6300,Casablanca,24 Avril,iphone,iphone 11 pro max,256,Bon état
228,1200,Casablanca,24 Avril,xiaomi,xiaomi ,8,Bon état
229,6300,Casablanca,24 Avril,iphone,iphone 11 pro max,256,Bon état
230,7900,Casablanca,24 Avril,iphone,iphone 13,8,Neuf
231,3100,Meknès,24 Avril,huawei,huawei p,8,Bon état
232,6000,Fès,24 Avril,iphone,iphone 11 pro max,64,Bon état
233,650,Meknès,24 Avril,iphone,iphone 6s,16,Bon état
234,1150,El Jadida,24 Avril,iphone,iphone 7,32,Bon état
235,3500,Tanger,24 Avril,iphone,iphone x,64,Bon état
236,2000,Casablanca,24 Avril,huawei,huawei nova 7,256,Neuf
237,9500,Casablanca,24 Avril,iphone,iphone 12 pro max,32,Bon état
238,4900,Rabat,24 Avril,iphone,iphone 11 pro,64,Bon état
239,400,Marrakech,24 Avril,samsung,samsung s3,16,Bon état
240,300,Marrakech,24 Avril,samsung,samsung s4,8,Bon état
241,13800,Rabat,24 Avril,samsung,samsung galaxy fold,512,Neuf
242,8300,Meknès,24 Avril,iphone,iphone 13,8,Neuf
243,500,Casablanca,24 Avril,samsung,samsung j3,16,Neuf
244,5700,Casablanca,24 Avril,iphone,iphone 12,64,Bon état
245,1500,Fès,24 Avril,huawei,huawei p,8,Bon état
246,3100,Casablanca,24 Avril,iphone,iphone x,32,Bon état
247,1250,Tétouan,24 Avril,realme,realme c11,64,Neuf
248,2900,Fès,24 Avril,iphone,iphone x,32,Bon état
249,500,Casablanca,24 Avril,samsung,samsung j3,16,Neuf
250,1250,Fès,24 Avril,iphone,iphone x,64,Bon état
251,1400,Casablanca,24 Avril,oppo,oppo a5,8,Bon état
252,1500,Salé,24 Avril,huawei,huawei p,8,Bon état
253,12500,Casablanca,24 Avril,iphone,iphone 13 pro max,8,Neuf
254,9300,Casablanca,24 Avril,iphone,iphone 12 pro max,256,Bon état
255,2400,Casablanca,24 Avril,oppo,oppo reno,8,Neuf
256,6000,Casablanca,24 Avril,iphone,iphone 11 pro,256,Bon état
257,2800,Casablanca,24 Avril,samsung,samsung a5,8,Neuf
258,7000,Casablanca,24 Avril,iphone,iphone 12,64,Neuf
259,8500,Casablanca,24 Avril,iphone,iphone 12 pro,256,Bon état
260,7600,Casablanca,24 Avril,iphone,iphone 11 pro max,512,Bon état
261,13500,Casablanca,24 Avril,iphone,iphone 13 pro max,256,Neuf
262,2000,Casablanca,24 Avril,iphone,iphone 8,64,Neuf
263,4600,Casablanca,24 Avril,iphone,iphone xs max,64,Bon état
264,5500,Agadir,24 Avril,iphone,iphone 11,8,Neuf
265,4499,Salé,24 Avril,iphone,iphone 11,64,Neuf
266,900,Casablanca,24 Avril,iphone,iphone 6s,64,Bon état
267,3000,Agadir,24 Avril,iphone,iphone x,256,Bon état
268,5700,Casablanca,24 Avril,iphone,iphone 11 pro,32,Bon état
269,1300,Marrakech,24 Avril,Redmi,Redmi Note 8,64,Bon état
271,3500,Agadir,24 Avril,samsung,samsung s20,32,Bon état
272,3500,Salé,24 Avril,iphone,iphone x,256,Bon état
273,2100,Casablanca,24 Avril,iphone,iphone 8,64,Bon état
275,2000,Oujda,24 Avril,iphone,iphone 8,64,Bon état
276,2000,Oujda,24 Avril,iphone,iphone 8,64,Bon état
277,6800,Mohammedia,24 Avril,iphone,iphone 13,8,Bon état
278,2300,Casablanca,24 Avril,iphone,iphone x,64,Bon état
279,6000,Casablanca,24 Avril,iphone,iphone 11,8,Bon état
280,1900,Marrakech,24 Avril,iphone,iphone 8,64,Bon état
281,12700,Casablanca,24 Avril,iphone,iphone 13 pro,32,Neuf
282,3800,Fès,24 Avril,iphone,iphone xs max,32,Bon état
283,900,Salé,24 Avril,iphone,iphone 7,32,Bon état
284,900,Salé,24 Avril,iphone,iphone 7,32,Bon état
285,5500,Casablanca,24 Avril,iphone,iphone 11 pro,64,Neuf
286,900,Rabat,24 Avril,xiaomi,xiaomi ,32,Neuf
287,3800,Kénitra,24 Avril,oppo,oppo reno,256,Neuf
288,3700,Kénitra,24 Avril,iphone,iphone x,8,Bon état
289,3500,Casablanca,24 Avril,iphone,iphone x,8,Bon état
290,5400,Rabat,24 Avril,iphone,iphone 11 pro max,256,Neuf
291,4000,Oujda,24 Avril,iphone,iphone 11,64,Bon état
292,2700,Rabat,24 Avril,oppo,oppo a9,8,Neuf
293,4500,Rabat,24 Avril,iphone,iphone 12 mini,64,Neuf
294,4700,Casablanca,24 Avril,iphone,iphone 11,32,Bon état
295,2400,Marrakech,24 Avril,iphone,iphone x,64,Bon état
296,2800,Casablanca,24 Avril,iphone,iphone 8,32,Bon état
297,8500,Fès,24 Avril,iphone,iphone 12 pro max,256,Bon état
298,6699,Casablanca,24 Avril,iphone,iphone 11 pro max,8,Neuf
299,3200,Casablanca,24 Avril,iphone,iphone x,32,Bon état
300,4300,Rabat,24 Avril,huawei,huawei mate 30,32,Bon état
301,3550,Meknès,24 Avril,oppo,oppo reno,8,Neuf
302,12800,Casablanca,24 Avril,iphone,iphone 13 pro max,32,Bon état
303,10800,Casablanca,24 Avril,iphone,iphone 13,256,Neuf
304,7800,Casablanca,24 Avril,iphone,iphone 13,8,Neuf
305,10000,Casablanca,24 Avril,iphone,iphone 13,32,Bon état
306,750,Salé,24 Avril,iphone,iphone 6s,64,Bon état
307,1700,Rabat,24 Avril,iphone,iphone 8,32,Bon état
308,3500,Rabat,24 Avril,iphone,iphone 8,32,Bon état
309,1700,Casablanca,24 Avril,huawei,huawei Y9s,8,Bon état
310,3500,Casablanca,24 Avril,xiaomi,xiaomi ,256,Neuf
311,4500,Casablanca,24 Avril,xiaomi,xiaomi ,256,Neuf
312,11500,Casablanca,24 Avril,iphone,iphone 13 pro,32,Neuf
313,5200,Casablanca,24 Avril,iphone,iphone 12 mini,64,Bon état
315,3250,Casablanca,24 Avril,oppo,oppo reno,256,Bon état
316,1400,Casablanca,24 Avril,Redmi,Redmi Note 8,8,Bon état
317,1950,Casablanca,24 Avril,xiaomi,xiaomi ,8,Bon état
318,3300,Casablanca,24 Avril,iphone,iphone x,64,Bon état
319,1200,Marrakech,24 Avril,samsung,samsung a02,32,Bon état
320,1900,Tétouan,24 Avril,iphone,iphone x,64,Bon état
321,4500,Tanger,24 Avril,iphone,iphone 11,64,Bon état
322,3000,Rabat,24 Avril,iphone,iphone x,32,Bon état
323,1600,Rabat,24 Avril,iphone,iphone 8,8,Bon état
324,5300,Tanger,24 Avril,iphone,iphone 12,64,Neuf
325,600,Casablanca,24 Avril,samsung,samsung a5,32,Bon état
326,2400,Rabat,24 Avril,iphone,iphone 8,64,Neuf
327,2000,Salé,24 Avril,iphone,iphone 7,8,Neuf
328,1200,Fès,24 Avril,iphone,iphone 7,32,Neuf
329,2000,Marrakech,24 Avril,iphone,iphone 7,8,Bon état
330,900,Rabat,24 Avril,huawei,huawei Y7 Prime,32,Bon état
331,1750,Meknès,24 Avril,oppo,oppo reno,8,Bon état
332,1150,Meknès,24 Avril,samsung,samsung galaxy a02,64,Bon état
333,1400,Rabat,24 Avril,oppo,oppo a5,64,Bon état
334,3500,Rabat,24 Avril,iphone,iphone x,64,Neuf
335,3500,Marrakech,24 Avril,iphone,iphone xs,256,Neuf
336,6200,Oujda,24 Avril,iphone,iphone 11,64,Neuf
337,1500,Casablanca,24 Avril,xiaomi,xiaomi ,64,Neuf
338,5800,Casablanca,24 Avril,iphone,iphone 11 pro max,64,Bon état
339,4000,Casablanca,24 Avril,iphone,iphone 12,64,Neuf
340,3400,Meknès,24 Avril,iphone,iphone x,32,Bon état
341,1400,Rabat,24 Avril,samsung,samsung a5,8,Bon état
342,800,Casablanca,24 Avril,samsung,samsung a11,32,Bon état
343,250,Casablanca,24 Avril,nokia,nokia 6,32,Bon état
344,12600,Rabat,24 Avril,iphone,iphone 13 pro max,256,Neuf
345,1100,Casablanca,24 Avril,samsung,samsung note 8,64,Bon état
346,2100,Casablanca,24 Avril,samsung,samsung galaxy a3,8,Neuf
347,12600,Tanger,24 Avril,iphone,iphone 13 pro max,256,Bon état
348,1350,Meknès,24 Avril,iphone,iphone 8,32,Bon état
349,750,Marrakech,24 Avril,huawei,huawei p,32,Bon état
350,9600,Meknès,24 Avril,iphone,iphone 12 pro max,256,Bon état
351,7500,Marrakech,24 Avril,iphone,iphone 11 pro,256,Neuf
352,1700,Mohammedia,24 Avril,huawei,huawei Y8p,32,Bon état
354,9300,Meknès,24 Avril,iphone,iphone 12 pro max,8,Neuf
355,899,Marrakech,24 Avril,iphone,iphone se,32,Bon état
356,3200,Casablanca,23 Avril,iphone,iphone xs,256,Bon état
357,4600,Meknès,23 Avril,iphone,iphone 11,32,Bon état
358,1600,Tanger,23 Avril,oppo,oppo a5,64,Bon état
359,1700,Tétouan,23 Avril,iphone,iphone 7,256,Bon état
360,4500,Tétouan,23 Avril,iphone,iphone xs max,64,Bon état
361,7300,Casablanca,23 Avril,xiaomi,xiaomi ,256,Neuf
362,3500,Meknès,23 Avril,samsung,samsung a5,32,Bon état
363,2800,Kénitra,23 Avril,iphone,iphone x,32,Bon état
364,1700,Casablanca,23 Avril,iphone,iphone se,32,Bon état
365,750,Casablanca,23 Avril,samsung,samsung a02,32,Bon état
366,1800,Kénitra,23 Avril,iphone,iphone 7,32,Bon état
367,2300,Rabat,23 Avril,iphone,iphone x,64,Bon état
368,1800,El Jadida,23 Avril,iphone,iphone 13 pro,32,Bon état
369,1800,Khouribga,23 Avril,iphone,iphone 13 pro max,32,Bon état
370,1800,Mohammedia,23 Avril,iphone,iphone 13,32,Bon état
371,1600,Kénitra,23 Avril,Redmi,Redmi Note 8,8,Bon état
372,1700,Kénitra,23 Avril,xiaomi,xiaomi ,32,Bon état
373,4000,Tanger,23 Avril,samsung,samsung s20,8,Neuf
374,7900,Tétouan,23 Avril,iphone,iphone 13,32,Bon état
375,1700,Kénitra,23 Avril,xiaomi,xiaomi ,32,Bon état
376,4000,Tanger,23 Avril,samsung,samsung s20,8,Neuf
377,7900,Tétouan,23 Avril,iphone,iphone 13,32,Bon état
378,1800,Tétouan,23 Avril,iphone,iphone 13,32,Bon état
379,1800,Meknès,23 Avril,iphone,iphone 13 pro max,32,Bon état
380,1800,Casablanca,23 Avril,iphone,iphone 13,32,Bon état
381,1800,Safi,23 Avril,iphone,iphone 13 pro,32,Bon état
382,2850,Rabat,23 Avril,samsung,samsung s20,8,Bon état
383,2900,Kénitra,23 Avril,samsung,samsung s20,8,Bon état
384,2900,Kénitra,23 Avril,xiaomi,xiaomi ,256,Bon état
385,1700,Kénitra,23 Avril,oppo,oppo a7,8,Bon état
386,3200,Kénitra,23 Avril,oppo,oppo reno,8,Bon état
387,3000,Kénitra,23 Avril,xiaomi,xiaomi ,256,Bon état
388,2300,Kénitra,23 Avril,xiaomi,xiaomi ,8,Bon état
389,4600,Rabat,23 Avril,iphone,iphone 11,64,Bon état
390,6350,Fès,23 Avril,iphone,iphone 12,8,Bon état
391,2600,Marrakech,23 Avril,iphone,iphone x,64,Bon état
393,12500,Rabat,23 Avril,iphone,iphone 13 pro max,8,Neuf
394,9600,Casablanca,23 Avril,iphone,iphone 12 pro max,256,Bon état
395,6500,Meknès,23 Avril,iphone,iphone 12,32,Bon état
396,1600,Casablanca,23 Avril,Redmi,Redmi Note 9,8,Bon état
397,3800,Casablanca,23 Avril,oppo,oppo reno,256,Neuf
398,700,Casablanca,23 Avril,iphone,iphone 7,32,Bon état
399,1500,Casablanca,23 Avril,samsung,samsung a5,32,Bon état
400,3299,Rabat,23 Avril,iphone,iphone x,64,Neuf
401,2500,Agadir,23 Avril,samsung,samsung note 10 lite,32,Bon état
402,5299,Rabat,23 Avril,iphone,iphone 11 pro,64,Bon état
403,2200,Meknès,23 Avril,iphone,iphone 7,32,Bon état
404,4199,Rabat,23 Avril,iphone,iphone 11,64,Bon état
405,1700,Casablanca,23 Avril,iphone,iphone 8,64,Bon état
406,4900,Casablanca,23 Avril,iphone,iphone 11,64,Neuf
407,3400,Meknès,23 Avril,iphone,iphone xs,32,Bon état
408,9200,Agadir,23 Avril,iphone,iphone 12 pro max,32,Bon état
409,1700,Salé,23 Avril,samsung,samsung a5,8,Bon état
